"","species","sizemax","sst","k_m","k_sd"
"4242","Epinephelus_hexagonatus",27.5,26,0.290028353363122,0.111072341456687
"4243","Epinephelus_hexagonatus",27.5,27,0.296323027515619,0.113470513097607
"4244","Epinephelus_hexagonatus",27.5,28,0.302803787312397,0.116089181164388
"4245","Epinephelus_hexagonatus",27.5,29,0.309476937087427,0.118940695927051
"4246","Epinephelus_howlandi",55,25,0.152320337601843,0.0173487123335807
"4247","Epinephelus_howlandi",55,26,0.155584843209608,0.0173033057230638
"4248","Epinephelus_howlandi",55,27,0.158945083261847,0.0174790241807173
"4249","Epinephelus_howlandi",55,28,0.162404286073507,0.0178996098202159
"4250","Epinephelus_howlandi",55,29,0.165965801992958,0.0185809313114221
"4251","Epinephelus_irroratus",27.7,28,0.243926899746459,0.0638511429038965
"4252","Epinephelus_labriformis",60,23,0.0862957167312028,0.0199972056757877
"4253","Epinephelus_labriformis",60,24,0.0881407056047201,0.0202880052470991
"4254","Epinephelus_labriformis",60,25,0.0900396917902342,0.0206515273851179
"4255","Epinephelus_labriformis",60,26,0.0919944962958413,0.0210934720004595
"4256","Epinephelus_labriformis",60,27,0.0940070090741295,0.0216192916012527
"4257","Epinephelus_labriformis",60,28,0.0960791918775813,0.0222341257323394
"4258","Epinephelus_labriformis",60,29,0.0982130812415119,0.0229427601621795
"4259","Epinephelus_lanceolatus",270,25,0.0428846109503046,0.00644707007880378
"4260","Epinephelus_lanceolatus",270,27,0.044749808286292,0.00659965937034153
"4261","Epinephelus_lanceolatus",270,28,0.0457237343374214,0.00675407454757071
"4262","Epinephelus_macrospilos",51,25,0.143923582244841,0.0104938149639148
"4263","Epinephelus_macrospilos",51,26,0.147042729815056,0.0106211147956135
"4264","Epinephelus_macrospilos",51,27,0.150253891008935,0.0110886074138479
"4265","Epinephelus_macrospilos",51,28,0.153560186812602,0.0119000155173741
"4266","Epinephelus_macrospilos",51,29,0.156964856783304,0.0130357431612218
"4267","Epinephelus_maculatus",60.5,21,0.132404661084018,0.0315087171907785
"4268","Epinephelus_maculatus",60.5,22,0.135183116328699,0.0317632696669826
"4269","Epinephelus_maculatus",60.5,24,0.140983920251898,0.0325631723422539
